PC,MIN
BRAGG-E4,299506
BRAGG-E4,298952
BRAGG-E4,299859
BRAGG-E4,299859
BRAGG-E4,299484
BRAGG-E4,299772
BRAGG-E4,299345
BRAGG-E4,299345
BRAGG-E4,299214
BRAGG-E4,299148
BRAGG-E4,299148
BRAGG-E4,299146
BRAGG-E4,298952
BRAGG-E4,298952
BRAGG-E4,298613
BRAGG-E4,298613
BRAGG-E4,298485
BRAGG-E4,298485
BRAGG-E4,298349
BRAGG-E4,298349
BRAGG-E4,299998
BRAGG-E4,297760
BRAGG-E4,0
BRAGG-E4,299998
BRAGG-E5,299998
BRAGG-E6,299996
BRAGG-E6,299996
BRAGG-E6,299996
BRAGG-E6,299996
BRAGG-E6,299996
BRAGG-E6,299996
BRAGG-E6,299996
BRAGG-E6,299994
BRAGG-E6,299994
BRAGG-E6,299994
BRAGG-E6,299990
BRAGG-E6,299990
BRAGG-E6,299990
BRAGG-E6,299990
BRAGG-E6,299990
BRAGG-E6,299999
BRAGG-E6,299998
BRAGG-E6,299998
BRAGG-E6,299998
BRAGG-E6,299998
BRAGG-E6,299998
BRAGG-E6,299998
BRAGG-E6,299995
BRAGG-E6,299992
BRAGG-E6,299992
BRAGG-E6,299992
BRAGG-E6,299989
BRAGG-E6,299989
BRAGG-E6,299989
BRAGG-E6,299989
BRAGG-E6,299989
BRAGG-E6,299989
BRAGG-E6,299989
BRAGG-E6,299983
BRAGG-E6,0
BRAGG-E7,299998
BRAGG-T1,299998
BRAGG-T1,299998
BRAGG-T3,292545
BRAGG-T3,291062
BRAGG-T3,291062
BRAGG-T3,288635
BRAGG-T3,288634
BRAGG-T3,288632
BRAGG-T3,288623
BRAGG-T3,288615
BRAGG-T4,299998
BRAGG-T5,299693
BRAGG-T6,299998
BRAGG-T7,299998
BRAGG-T7,299998
CAMPB-T1,300000*
CAMPB-T1,299765
CAMPB-T1,299765
CAMPB-T1,299763
CAMPB-T1,299763
CAMPB-T1,299763
CAMPB-T1,299763
CAMPB-T1,299762
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T1,285335
CAMPB-T2,299171
CAMPB-T2,299169
CAMPB-T2,298797
CAMPB-T2,298797
CAMPB-T2,297855
CARSN-T1,299985
CARSN-T1,299980
CARSN-T1,299979
DRUM-T1,299990
DRUM-T1,299575
DRUM-T1,299034
DRUM-T1,299034
DRUM-T2,298971
DRUM-T2,296183
DRUM-T2,296183
EUSTS-T1,299934
EUSTS-T1,299554
EUSTS-T1,299172
EUSTS-T1,299172
EUSTS-T1,299107
EUSTS-T1,299107
EUSTS-T1,298731
EUSTS-T1,298731
EUSTS-T1,298731
EUSTS-T1,300000
EUSTS-T1,298731
EUSTS-T1,298731
EUSTS-T1,298731
EUSTS-T1,298731
EUSTS-T1,298731
EUSTS-T1,300000
EUSTS-T1,298243
EUSTS-T1,298243
EUSTS-T1,298783
EUSTS-T1,298243
EUSTS-T1,298243
EUSTS-T1,298224
EUSTS-T1,298224
EUSTS-T1,297292
EUSTS-T1,297292
EUSTS-T1,297292
EUSTS-T1,297292
EUSTS-T1,297292
HAWAI-T1,299998
HAWAI-T1,299998
HAWAI-T1,299998
HAWAI-T1,299998
HAWAI-T1,299996
HAWAI-T1,299991
HAWAI-T1,299991
HAWAI-T1,300000
HAWAI-T1,299898
HAWAI-T1,299898
HAWAI-T1,299787
HAWAI-T1,299787
HAWAI-T1,299787
HAWAI-T1,299787
HAWAI-T1,299787
HAWAI-T1,299787
HAWAI-T1,299787
HAWAI-T1,299787
HAWAI-T2,299817
HAWAI-T2,299816
HAWAI-T2,298589
HAWAI-T2,298589
HAWAI-T2,296939
HAWAI-T2,296939
HAWAI-T2,296642
HAWAI-T2,296642
HAWAI-T2,296637
HAWAI-T2,296621
HAWAI-T2,296580
HAWAI-T2,296580
HAWAI-T2,296353
HAWAI-T2,296254
HAWAI-T2,296254
HAWAI-T2,295048
HAWAI-T2,294792
HAWAI-T2,294545
HAWAI-T2,294416
HAWAI-T2,294416
HAWAI-T2,293194
HAWAI-T2,293194
HAWAI-T2,293084
HAWAI-T2,293084
HAWAI-T2,292852
HAWAI-T2,292852
HAWAI-T2,292570
HAWAI-T2,292570
HAWAI-T2,292477
HAWAI-T2,292477
HAWAI-T2,291163
HAWAI-T2,291163
HAWAI-T2,291128
HOOD-T1,299807
HOOD-T1,299807
HOOD-T1,299262
HOOD-T2,299390
HOOD-T2,299358
HOOD-T2,299358
HOOD-T2,299334
HOOD-T2,299334
HOOD-T3,299947
HOOD-T3,299947
HOOD-T4,299256
HOOD-T4,299256
HOOD-T4,299096
HUACH-T1,299991
HUACH-T1,299991
IRWIN-T1,299995
IRWIN-T1,299995
IRWIN-T1,299519
IRWIN-T1,299519
IRWIN-T1,299163
IRWIN-T1,299163
JACKS-T1,299980
JACKS-T1,299974
JACKS-T1,299973
JACKS-T1,299916
JACKS-T1,299341
JACKS-T1,299340
JACKS-T1,299332
JACKS-T1,299332
